epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.02263,0.98191,2.67957,1.31624,0.56904,0.85,0.80134,0.61153,1.63323,1.10951,1.37882,0,0,0
2,4.26853,1.02669,3.27748,1.38047,0.5693,0.85,0.84136,0.63596,1.63881,1.09236,1.37811,1.17822e-06,1.17822e-06,1.17822e-06
3,6.14125,1.40829,2.72842,1.81222,0.56126,0.85,0.84184,0.63639,1.65191,1.0932,1.37917,2.33288e-06,2.33288e-06,2.33288e-06
4,8.02725,1.51906,3.01891,2.09561,0.56132,0.85,0.80085,0.61157,1.65695,1.08417,1.37973,3.46397e-06,3.46397e-06,3.46397e-06
5,9.85497,1.4772,3.24977,1.94417,0.55985,0.85,0.84861,0.62974,1.65127,1.08019,1.37213,4.5715e-06,4.5715e-06,4.5715e-06
6,11.5734,1.16051,2.76794,1.47407,0.54817,0.85,0.80787,0.60379,1.63302,1.07522,1.35723,5.65548e-06,5.65548e-06,5.65548e-06
7,13.5402,1.16685,2.43405,1.42661,0.5557,0.85,0.80788,0.60374,1.62745,1.0712,1.35171,6.71588e-06,6.71588e-06,6.71588e-06
8,15.5041,0.97409,2.48935,1.23219,0.60616,0.93333,0.87273,0.60937,1.63077,1.06995,1.35052,7.75273e-06,7.75273e-06,7.75273e-06
9,17.4855,1.10966,3.7153,1.46836,0.57106,0.85,0.81323,0.60866,1.60378,1.05295,1.33271,8.76602e-06,8.76602e-06,8.76602e-06
10,19.2775,0.99392,2.44479,1.24492,0.57757,0.8604,0.81599,0.62498,1.60025,1.05354,1.33049,9.75574e-06,9.75574e-06,9.75574e-06
11,20.9378,1.13415,2.87858,1.41554,0.5849,0.86667,0.86454,0.6356,1.58923,1.04994,1.32277,1.07219e-05,1.07219e-05,1.07219e-05
12,22.9163,0.88736,2.11295,1.27984,0.59294,0.86667,0.87031,0.63221,1.59668,1.059,1.32476,1.16645e-05,1.16645e-05,1.16645e-05
13,25.2645,0.9245,1.91028,1.45377,0.59265,0.86667,0.8609,0.63125,1.58996,1.06268,1.32089,1.25835e-05,1.25835e-05,1.25835e-05
14,27.5044,1.01724,2.25768,1.39069,0.77623,0.65,0.87761,0.6329,1.58104,1.06423,1.31851,1.3479e-05,1.3479e-05,1.3479e-05
15,29.4817,1.06955,1.90286,1.42345,0.77844,0.65,0.87775,0.63595,1.5821,1.07238,1.31883,1.43509e-05,1.43509e-05,1.43509e-05
16,31.4453,1.10151,2.19855,1.60046,0.81385,0.65,0.88013,0.63734,1.58977,1.08161,1.32165,1.51993e-05,1.51993e-05,1.51993e-05
17,33.395,0.93165,2.22197,1.35008,0.82211,0.65,0.91208,0.64265,1.59886,1.0921,1.32441,1.60241e-05,1.60241e-05,1.60241e-05
18,35.2392,1.14126,2.50974,1.4666,0.82211,0.65,0.91208,0.64265,1.59886,1.0921,1.32441,1.68253e-05,1.68253e-05,1.68253e-05
19,38.2156,1.06087,1.53422,1.27614,0.80839,0.65,0.89785,0.64566,1.59768,1.10726,1.3259,1.7603e-05,1.7603e-05,1.7603e-05
20,41.2231,1.00237,1.49097,1.28611,0.80839,0.65,0.89785,0.64566,1.59768,1.10726,1.3259,1.83571e-05,1.83571e-05,1.83571e-05
21,44.9746,1.15783,3.23051,1.5063,0.81915,0.65,0.88412,0.62706,1.61177,1.1371,1.32948,1.90876e-05,1.90876e-05,1.90876e-05
22,48.5227,0.98498,1.80684,1.50613,0.81915,0.65,0.88412,0.62706,1.61177,1.1371,1.32948,1.97946e-05,1.97946e-05,1.97946e-05
23,50.5868,1.06295,2.03195,1.31406,0.807,0.65,0.85274,0.61848,1.63298,1.16763,1.35133,2.0478e-05,2.0478e-05,2.0478e-05
24,52.6401,1.05316,1.65879,1.37035,0.807,0.65,0.85274,0.61848,1.63298,1.16763,1.35133,2.11379e-05,2.11379e-05,2.11379e-05
25,54.571,0.88827,1.98696,1.26466,0.82172,0.65,0.85262,0.60997,1.65461,1.20537,1.36452,2.17741e-05,2.17741e-05,2.17741e-05
26,56.437,0.95197,1.59737,1.39116,0.82172,0.65,0.85262,0.60997,1.65461,1.20537,1.36452,2.23869e-05,2.23869e-05,2.23869e-05
27,58.4877,0.90184,1.54336,1.25108,0.82182,0.65,0.85264,0.60995,1.64891,1.22038,1.36307,2.2976e-05,2.2976e-05,2.2976e-05
28,61.9766,0.84106,1.47779,1.20657,0.82182,0.65,0.85264,0.60995,1.64891,1.22038,1.36307,2.35417e-05,2.35417e-05,2.35417e-05
29,64.5424,1.17077,1.70091,1.39679,0.81591,0.65,0.85273,0.60994,1.64473,1.23973,1.36417,2.40837e-05,2.40837e-05,2.40837e-05
30,66.6205,0.78061,1.35104,1.13744,0.81591,0.65,0.85273,0.60994,1.64473,1.23973,1.36417,2.46022e-05,2.46022e-05,2.46022e-05
31,68.6372,0.89147,1.44613,1.28613,0.80474,0.65,0.84928,0.59819,1.63804,1.27878,1.36279,2.50971e-05,2.50971e-05,2.50971e-05
32,70.3214,0.99709,1.35985,1.27542,0.80474,0.65,0.84928,0.59819,1.63804,1.27878,1.36279,2.55685e-05,2.55685e-05,2.55685e-05
33,72.2863,0.87309,1.56342,1.34459,0.77448,0.65,0.84972,0.59691,1.63968,1.32438,1.36765,2.60163e-05,2.60163e-05,2.60163e-05
34,74.1215,0.7625,1.37969,1.2282,0.77448,0.65,0.84972,0.59691,1.63968,1.32438,1.36765,2.64405e-05,2.64405e-05,2.64405e-05
35,75.8474,0.89549,1.44718,1.1859,0.77155,0.65,0.76676,0.5347,1.64644,1.36259,1.36572,2.68412e-05,2.68412e-05,2.68412e-05
36,77.7647,0.82558,1.41453,1.19403,0.77155,0.65,0.76676,0.5347,1.64644,1.36259,1.36572,2.72183e-05,2.72183e-05,2.72183e-05
37,79.7394,0.87905,1.35495,1.33353,0.75695,0.65,0.73933,0.498,1.65542,1.39781,1.37603,2.75718e-05,2.75718e-05,2.75718e-05
38,81.7495,1.02533,1.6856,1.35292,0.75695,0.65,0.73933,0.498,1.65542,1.39781,1.37603,2.79018e-05,2.79018e-05,2.79018e-05
39,84.3985,0.96339,2.10774,1.37654,0.72919,0.65,0.7225,0.48903,1.67254,1.45788,1.39322,2.82082e-05,2.82082e-05,2.82082e-05
40,86.8201,1.00073,1.06085,1.44421,0.72919,0.65,0.7225,0.48903,1.67254,1.45788,1.39322,2.84911e-05,2.84911e-05,2.84911e-05
41,90.3972,0.7957,1.21563,1.16077,0.70438,0.66314,0.69949,0.44748,1.67135,1.50813,1.39489,2.87504e-05,2.87504e-05,2.87504e-05
42,92.8947,0.91147,1.33077,1.28097,0.70438,0.66314,0.69949,0.44748,1.67135,1.50813,1.39489,2.89861e-05,2.89861e-05,2.89861e-05
43,95.1326,0.51607,2.37433,1.09867,0.70095,0.7,0.69503,0.39829,1.68922,1.58146,1.39447,2.91983e-05,2.91983e-05,2.91983e-05
44,97.5118,0.91427,1.06636,1.26935,0.70095,0.7,0.69503,0.39829,1.68922,1.58146,1.39447,2.93869e-05,2.93869e-05,2.93869e-05
45,99.628,0.63968,0.91739,1.14745,0.77585,0.48333,0.58253,0.34398,1.7157,1.63409,1.40493,2.9552e-05,2.9552e-05,2.9552e-05
46,101.275,0.92638,1.27254,1.39592,0.77585,0.48333,0.58253,0.34398,1.7157,1.63409,1.40493,2.96935e-05,2.96935e-05,2.96935e-05
